"filename", "language", "JSON with Comments", "JSON", "Markdown", "pip requirements", "TypeScript", "JavaScript", "Shell Script", "comment", "blank", "total"
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\transporter\transporter.controller.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\transporter\transporter.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\transporter\transporter.service.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\role\entities\role.entity.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 5, 11
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\role\role.controller.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\role\role.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\role\role.service.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\user\dto\create-user.dto.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\user\dto\login-user.dto.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\user\entities\user.entity.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 8, 32
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\user\user.controller.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\user\user.module.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\user\user.service.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 13, 60
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\test\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\test\jest-e2e.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\tools\generate-resources.ts", "TypeScript", 0, 0, 0, 0, 186, 0, 0, 10, 42, 238
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\tsconfig.build.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\tsconfig.json", "JSON with Comments", 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-frontend\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 28, 12160, 71, 24, 3360, 33, 31, 343, 1233, 17283
